date,state,fips,cases,deaths
2023-01-25,Guam,66,61589,416
2023-01-25,Hawaii,15,366842,1772
2023-01-25,Idaho,16,514449,5359
2023-01-25,Illinois,17,4016024,40980
2023-01-25,Indiana,18,2020938,25796
2023-01-25,Iowa,19,892558,10540
2023-01-25,Kansas,20,924211,10042
2023-01-25,Georgia,13,2932731,40295
2023-01-25,Kentucky,21,1685679,17926
2023-01-25,Louisiana,22,1533257,18479
2023-01-25,Maine,23,310693,2872
2023-01-25,Maryland,24,1341398,16273
2023-01-25,Florida,12,7400419,84927
2023-01-25,Massachusetts,25,2186426,23405
2023-01-25,District of Columbia,11,175569,1421
2023-01-25,Delaware,10,325083,3243
2023-01-25,Connecticut,09,963981,11942
2023-01-25,Michigan,26,3015235,41390
2023-01-25,Minnesota,27,1747751,14476
2023-01-25,Colorado,08,1745713,14018
2023-01-25,Mississippi,28,970585,13178
2023-01-25,Missouri,29,1763518,23560
2023-01-25,California,06,11958856,102053
2023-01-25,Montana,30,325479,3648
2023-01-25,Nebraska,31,560510,4895
2023-01-25,Nevada,32,881498,11972
2023-01-25,New Hampshire,33,372587,2927
2023-01-25,New Jersey,34,2989010,35782
2023-01-25,New Mexico,35,663868,8942
2023-01-25,New York,36,6682326,78679
2023-01-25,North Carolina,37,3398161,29094
2023-01-25,Arkansas,05,994837,12806
2023-01-25,North Dakota,38,282170,2489
2023-01-25,Northern Mariana Islands,69,13395,41
2023-01-25,Arizona,04,2394646,32631
2023-01-25,Ohio,39,3339612,41354
2023-01-25,American Samoa,60,8309,34
2023-01-25,Oklahoma,40,1265785,16146
2023-01-25,Oregon,41,946727,9145
2023-01-25,Alaska,02,303897,1426
2023-01-25,Pennsylvania,42,3459061,49476
2023-01-25,Puerto Rico,72,1110345,5653
2023-01-25,Rhode Island,44,452557,3841
2023-01-25,South Carolina,45,1807019,19628
2023-01-25,South Dakota,46,273354,3165
2023-01-25,Tennessee,47,2398125,28515
2023-01-25,Texas,48,8215613,93202
2023-01-25,Utah,49,1080380,5234
2023-01-25,Vermont,50,149687,884
2023-01-25,Virginia,51,2251042,23204
2023-01-25,Virgin Islands,78,24362,129
2023-01-25,Washington,53,1899401,15359
2023-01-25,Alabama,01,1602891,21322
2023-01-25,West Virginia,54,632661,7922
2023-01-25,Wisconsin,55,1979132,16105
2023-01-25,Wyoming,56,183774,1978
