date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
2021-02-21,Alabama,01,485986,9590,381166,7525,104820,2065
2021-02-21,Alaska,02,56979,278,0,278,56979,0
2021-02-21,Arizona,04,807163,15480,,,,
2021-02-21,Arkansas,05,315230,5348,249492,4298,65738,1050
2021-02-21,California,06,3526828,49111,3506212,49111,20616,0
2021-02-21,Colorado,08,422240,5984,,,,
2021-02-21,Connecticut,09,273101,7523,,,,
2021-02-21,Delaware,10,84531,1366,,,,
2021-02-21,District of Columbia,11,39553,994,39553,994,0,0
2021-02-21,Florida,12,1863699,29812,0,29812,1863699,0
2021-02-21,Georgia,13,958998,16233,778601,14236,180397,1997
2021-02-21,Guam,66,8685,131,8476,131,209,0
2021-02-21,Hawaii,15,27011,427,,,,
2021-02-21,Idaho,16,169229,1829,137505,1607,31724,222
2021-02-21,Illinois,17,1175781,22426,1075934,20291,99847,2135
2021-02-21,Indiana,18,657848,12336,654660,11912,3188,424
2021-02-21,Iowa,19,332225,5336,332225,,0,
2021-02-21,Kansas,20,294010,4614,,,,
2021-02-21,Kentucky,21,400011,4585,,,,
2021-02-21,Louisiana,22,422287,9440,364912,8778,57375,662
2021-02-21,Maine,23,43367,658,34431,658,8936,0
2021-02-21,Maryland,24,375919,7697,375737,7515,182,182
2021-02-21,Massachusetts,25,567764,15779,538328,15462,29436,317
2021-02-21,Michigan,26,636167,16332,580756,15383,55411,949
2021-02-21,Minnesota,27,478225,6491,455619,6153,22606,338
2021-02-21,Mississippi,28,290242,6553,180717,4610,109525,1943
2021-02-21,Missouri,29,512753,8151,503274,8151,9479,0
2021-02-21,Montana,30,98681,1342,98671,1342,10,0
2021-02-21,Nebraska,31,199162,2169,66070,573,133092,1596
2021-02-21,Nevada,32,290746,4870,290742,4870,4,0
2021-02-21,New Hampshire,33,73161,1153,0,,73161,
2021-02-21,New Jersey,34,764374,22834,680937,20545,83437,2289
2021-02-21,New Mexico,35,182475,3612,182475,3612,0,0
2021-02-21,New York,36,1585692,46233,1572432,41202,13260,5031
2021-02-21,North Carolina,37,844520,10930,751508,9768,93012,1162
2021-02-21,North Dakota,38,99258,1467,94189,,5069,
2021-02-21,Northern Mariana Islands,69,143,2,143,2,0,0
2021-02-21,Ohio,39,952306,16749,,,,
2021-02-21,Oklahoma,40,418318,4155,0,4155,418318,0
2021-02-21,Oregon,41,152711,2159,10738,138,141973,2021
2021-02-21,Pennsylvania,42,916378,23615,,,,
2021-02-21,Puerto Rico,72,132450,1957,91324,1664,41126,293
2021-02-21,Rhode Island,44,123145,2376,0,924,123145,1452
2021-02-21,South Carolina,45,501277,8256,434589,7352,66688,904
2021-02-21,South Dakota,46,111165,1859,98880,,12285,
2021-02-21,Tennessee,47,750628,11022,628607,2191,122021,8831
2021-02-21,Texas,48,2593823,42202,2269547,26511,324276,15691
2021-02-21,Utah,49,366034,1842,85923,639,280111,1203
2021-02-21,Vermont,50,14359,196,0,,14359,
2021-02-21,Virginia,51,561812,7197,,,,
2021-02-21,Virgin Islands,78,2575,25,2575,25,0,0
2021-02-21,Washington,53,336819,4886,321740,2320,15079,2566
2021-02-21,West Virginia,54,129364,2254,103525,1919,25839,335
2021-02-21,Wisconsin,55,611789,6875,561484,6338,50305,537
2021-02-21,Wyoming,56,53683,662,45583,,8100,
